horizon_minutes,result_type,cost_bps,capacity_quote,event_count,mean_net_return,median_net_return,win_rate,t_stat
5,bootstrap_draw,8,10000,8937,-0.001057850963417844,,,
5,bootstrap_draw,8,10000,8937,-0.0010525451449130002,,,
5,bootstrap_draw,8,10000,8937,-0.0010587008582681745,,,
5,bootstrap_draw,8,10000,8937,-0.0010618942643299827,,,
5,bootstrap_draw,8,10000,8937,-0.001072921698480895,,,
5,bootstrap_draw,8,10000,8937,-0.0010532222235382846,,,
5,bootstrap_draw,8,10000,8937,-0.0010571171256854171,,,
5,bootstrap_draw,8,10000,8937,-0.0010559252091167921,,,
5,bootstrap_draw,8,10000,8937,-0.0010602638945659596,,,
5,bootstrap_draw,8,10000,8937,-0.0010650620841456267,,,
5,bootstrap_draw,8,10000,8937,-0.0010666388975819068,,,
5,bootstrap_draw,8,10000,8937,-0.0010519338092393254,,,
5,bootstrap_draw,8,10000,8937,-0.0010428275616062895,,,
5,bootstrap_draw,8,10000,8937,-0.0010592712603934113,,,
5,bootstrap_draw,8,10000,8937,-0.0010599195722585388,,,
5,bootstrap_draw,8,10000,8937,-0.0010585370051148372,,,
5,bootstrap_draw,8,10000,8937,-0.0010652167888486248,,,
5,bootstrap_draw,8,10000,8937,-0.0010580028830034064,,,
5,bootstrap_draw,8,10000,8937,-0.0010619228399641383,,,
5,bootstrap_draw,8,10000,8937,-0.001057098153330224,,,
5,bootstrap_draw,8,10000,8937,-0.001062670033459445,,,
5,bootstrap_draw,8,10000,8937,-0.0010544331240615913,,,
5,bootstrap_draw,8,10000,8937,-0.0010536186098014642,,,
5,bootstrap_draw,8,10000,8937,-0.0010603119723010851,,,
5,bootstrap_draw,8,10000,8937,-0.001051098234763019,,,
5,bootstrap_draw,8,10000,8937,-0.0010475531804223404,,,
5,bootstrap_draw,8,10000,8937,-0.0010468350606326526,,,
5,bootstrap_draw,8,10000,8937,-0.0010488665803972611,,,
5,bootstrap_draw,8,10000,8937,-0.0010695327038168923,,,
5,bootstrap_draw,8,10000,8937,-0.001053597635637088,,,
5,bootstrap_draw,8,10000,8937,-0.0010583739502099737,,,
5,bootstrap_draw,8,10000,8937,-0.0010678709131382877,,,
5,bootstrap_draw,8,10000,8937,-0.0010652411060297527,,,
5,bootstrap_draw,8,10000,8937,-0.0010620531091995507,,,
5,bootstrap_draw,8,10000,8937,-0.0010574258165487267,,,
