draw,beta_binance_to_okx,beta_okx_to_binance,beta_difference_bo_minus_ob
75,-0.01791908248849894,-0.04170069689040547,0.02378161440190653
76,-0.012402636638059352,-0.04079264980664038,0.02839001316858103
77,-0.021559072279852615,-0.03709926358781584,0.015540191307963223
78,-0.010795079704773397,-0.04566942468950919,0.034874344984735794
79,-0.0055338945654316,-0.0346819494396207,0.029148054874189096
80,-0.013391407721688066,-0.04261672907036527,0.029225321348677204
81,-0.007084750006878999,-0.037177634120329074,0.030092884113450076
82,-0.006977048859026121,-0.045701993933263685,0.038724945074237564
83,-0.019518422931452648,-0.04724335305133383,0.02772493011988118
84,-0.014055840051560138,-0.02962925616351824,0.015573416111958102
85,-0.022642483889803135,-0.03909217102478305,0.016449687134979917
86,-0.007140971428266396,-0.03258515508283521,0.02544418365456881
87,-0.007626252271140006,-0.04019247083974815,0.03256621856860814
88,-0.03122672446749637,-0.03768167926601494,0.006454954798518573
89,-0.020026321421591775,-0.03872669022882421,0.018700368807232436
90,-0.02619113832475876,-0.04053143802157621,0.014340299696817448
91,-0.015161424356569702,-0.032592164603707285,0.01743074024713758
92,-0.0074546052414214995,-0.04972897012061943,0.04227436487919793
93,-0.01606640293277404,-0.022657040869973066,0.006590637937199027
94,0.0001744555478211996,-0.032230004277931414,0.032404459825752616
95,-0.019550734338888157,-0.026607564395067448,0.00705683005617929
96,-0.014341520783473454,-0.031852737983963646,0.01751121720049019
97,-0.02685395178209841,-0.027266110037608725,0.00041215825551031357
98,-0.005737796096400373,-0.03343638501294504,0.027698588916544666
99,-0.017463789182390804,-0.016542646162119447,-0.0009211430202713568
100,-0.021570472119631257,-0.032166060239063064,0.010595588119431808
101,-0.012492665654229759,-0.033577275319097655,0.021084609664867894
102,-0.009555602510189384,-0.028495700752716763,0.01894009824252738
103,-0.007912224440203237,-0.03876611135682786,0.03085388691662462
104,-0.010863981645816501,-0.041019568882453096,0.030155587236636597
105,-0.013460935066460386,-0.03154355286925431,0.018082617802793924
106,-0.007077474321990937,-0.04044619497498054,0.033368720652989604
107,-0.023683748241167247,-0.026617622850762145,0.0029338746095948984
108,-0.008274105312512037,-0.038831294568806664,0.030557189256294626
109,-0.003137945273495919,-0.05339275768608196,0.050254812412586045
110,-0.02608260856349168,-0.03312730530102593,0.0070446967375342485
111,-0.018650888333810428,-0.03996969681220363,0.0213188084783932
112,-0.015685624575915158,-0.041509640539153375,0.025824015963238217
113,-0.015262134657687353,-0.0393741223117362,0.024111987654048844
114,-0.01916582333449243,-0.04512178467683863,0.025955961342346203
115,-0.015397601466813352,-0.04926156386393313,0.03386396239711978
116,-0.007144669875300501,-0.048303909314995466,0.04115923943969497
117,-0.005923840812225501,-0.0477846002065152,0.041860759394289696
118,-0.01510340991721095,-0.04844317968763403,0.03333976977042308
119,-0.008433257334368886,-0.04339281056024169,0.034959553225872804
120,-0.012732713415916858,-0.03186139364634981,0.019128680230432953
121,-0.014442475167586698,-0.0530240273188696,0.0385815521512829
122,-0.007575130911982791,-0.032661268400513636,0.025086137488530846
123,-0.01712071534520524,-0.024042094690728984,0.006921379345523743
124,-0.013762683296090908,-0.036339399029424235,0.02257671573333333
125,-0.018231265452567695,-0.04117766012161857,0.022946394669050872
126,-0.01639798728366214,-0.02769994525854341,0.011301957974881267
127,-0.021207129296747947,-0.037993141394466516,0.01678601209771857
128,-0.00658042917373074,-0.032077304812571476,0.025496875638840736
129,-0.008738850460732358,-0.0404756341185074,0.03173678365777505
130,-0.0030277854802348704,-0.03637258787369621,0.03334480239346134
131,-0.008495428986248003,-0.03461344857755808,0.02611801959131008
132,-0.00713042763130962,-0.02515979412330426,0.018029366491994638
133,-0.008069811955239885,-0.028690983667714935,0.020621171712475052
134,-0.020903485389730768,-0.03635871312989576,0.015455227740164994
135,0.0019411668575605905,-0.029473495554147012,0.0314146624117076
136,-0.014067813441675276,-0.037096870027405214,0.023029056585729936
137,-0.001899224382648608,-0.022076072239863073,0.020176847857214464
138,-0.006445845475181559,-0.05630939734731072,0.04986355187212916
139,-0.010133573941768805,-0.02854449831115307,0.018410924369384265
140,-0.024539064346093445,-0.021154222690709434,-0.0033848416553840105
141,-0.018932564609347516,-0.04371541530761458,0.024782850698267064
142,-0.00655797831205834,-0.03667341742312758,0.03011543911106924
143,-0.024272456869476863,-0.04125455639801015,0.016982099528533287
144,-0.006488547337785108,-0.03391386591201307,0.02742531857422796
145,-0.026776121342848073,-0.040031112388445186,0.013254991045597114
146,-0.011114861827926191,-0.046212471376570655,0.035097609548644465
147,-0.008472927707462725,-0.03148804796129898,0.023015120253836258
